type,ID,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula
5,3,4907091,68191734,84962331,1322676589,-10432,2512,12572,nan
6,2,503927,68192811,84962801,1322676589,nan,nan,nan,32166
5,4,10093511,68192989,85003998,1322676589,-3764,-684,16360,nan
5,3,4909784,68194427,84965024,1322676589,-10452,2516,12548,nan
6,2,506642,68195525,84965517,1322676589,nan,nan,nan,32168
5,4,10096191,68195703,85006677,1322676589,-3740,-692,16320,nan
5,3,4912476,68197121,84967717,1322676589,-10412,2480,12528,nan
5,3,4915169,68199814,84970409,1322676589,-10476,2540,12660,nan
5,3,4917862,68202506,84973102,1322676589,-10396,2456,12588,nan
5,3,4920554,68205199,84975795,1322676589,-10472,2516,12628,nan
5,3,4923247,68207892,84978487,1322676589,-10416,2464,12580,nan
5,3,4925939,68210583,84981180,1322676589,-10448,2468,12596,nan
5,3,4928632,68213278,84983872,1322676589,-10448,2480,12564,nan
5,3,4931324,68215969,84986565,1322676589,-10444,2504,12576,nan
5,3,4934017,68218663,84989257,1322676589,-10448,2484,12580,nan
6,2,530929,68219816,84968232,1322676589,nan,nan,nan,32168
5,4,10120678,68220049,85009357,1322676590,-3728,-664,16380,nan
5,3,4936709,68221355,84991950,1322676590,-10468,2484,12548,nan
6,2,533874,68222760,84992519,1322676590,nan,nan,nan,32169
5,4,10123529,68222946,85033844,1322676590,-3740,-680,16368,nan
5,3,4939402,68224047,84994642,1322676590,-10468,2516,12572,nan
6,2,536589,68225474,84995464,1322676590,nan,nan,nan,32167
5,4,10126209,68225660,85036695,1322676590,-3724,-696,16360,nan
5,3,4942094,68226739,84997335,1322676590,-10408,2452,12520,nan
6,2,539305,68228191,84998179,1322676590,nan,nan,nan,32168
5,4,10128888,68228378,85039375,1322676590,-3728,-672,16284,nan
5,3,4944787,68229433,85000027,1322676590,-10468,2524,12616,nan
6,2,542021,68230905,85000895,1322676590,nan,nan,nan,32169
5,4,10131567,68231091,85042054,1322676590,-3672,-712,16376,nan
5,3,4947479,68232125,85002720,1322676590,-10404,2448,12628,nan
5,3,4950172,68234819,85005412,1322676590,-10476,2520,12592,nan
5,3,4952865,68237511,85008105,1322676590,-10420,2484,12612,nan
5,3,4955557,68240205,85010798,1322676590,-10420,2456,12564,nan
5,3,4958250,68242895,85013490,1322676590,-10448,2480,12564,nan
5,3,4960942,68245588,85016183,1322676590,-10420,2496,12576,nan
5,3,4963635,68248282,85018875,1322676590,-10416,2484,12584,nan
5,3,4966327,68250975,85021568,1322676590,-10432,2536,12584,nan
5,3,4969020,68253669,85024260,1322676591,-10420,2520,12600,nan
6,2,566309,68255199,85003611,1322676591,nan,nan,nan,32169
5,4,10156055,68255429,85044733,1322676591,-3716,-708,16324,nan
5,3,4971713,68256360,85026953,1322676591,-10360,2524,12524,nan
6,2,569255,68258143,85027899,1322676591,nan,nan,nan,32170
5,4,10158907,68258330,85069221,1322676591,-3696,-712,16368,nan
5,3,4974405,68259053,85029646,1322676591,-10372,2604,12624,nan
6,2,571970,68260860,85030845,1322676591,nan,nan,nan,32170
5,4,10161587,68261047,85072073,1322676591,-3616,-728,16328,nan
5,3,4977098,68261745,85032338,1322676591,-10320,2624,12672,nan
6,2,574686,68263573,85033560,1322676591,nan,nan,nan,32167
5,4,10164266,68263833,85074753,1322676591,-3644,-728,16448,nan
5,3,4979790,68264437,85035031,1322676591,-10308,2744,12660,nan
6,2,577401,68266291,85036276,1322676591,nan,nan,nan,32168
5,4,10166945,68266479,85077432,1322676591,-3624,-720,16332,nan
5,3,4982483,68267131,85037723,1322676591,-10260,2720,12688,nan
5,4,10169624,68268998,85080111,1322676591,-3612,-684,16388,nan
6,2,580117,68269187,85038991,1322676591,nan,nan,nan,32164
5,3,4985175,68269822,85040416,1322676591,-10272,2776,12720,nan
5,4,10172304,68271679,85082790,1322676591,-3620,-716,16380,nan
6,2,582833,68271867,85041707,1322676591,nan,nan,nan,32137
5,3,4987868,68272516,85043108,1322676591,-10252,2876,12676,nan
5,4,10174983,68274357,85085470,1322676591,-3640,-680,16376,nan
6,2,585548,68274618,85044423,1322676591,nan,nan,nan,32122
5,3,4990560,68275208,85045801,1322676591,-10232,2948,12656,nan
5,4,10177662,68277037,85088149,1322676591,-3628,-704,16368,nan
6,2,588264,68277768,85047138,1322676591,nan,nan,nan,32120
5,3,4993253,68277956,85048493,1322676591,-10208,2968,12696,nan
5,4,10180341,68279717,85090828,1322676591,-3628,-672,16360,nan
6,2,590979,68279906,85049854,1322676591,nan,nan,nan,32113
5,3,4995946,68280594,85051186,1322676591,-10204,2980,12672,nan
5,4,10183020,68282396,85093507,1322676591,-3664,-672,16384,nan
6,2,593695,68282585,85052569,1322676591,nan,nan,nan,32108
5,3,4998638,68283289,85053879,1322676591,-10192,3040,12720,nan
5,4,10185700,68285076,85096186,1322676591,-3672,-704,16388,nan
6,2,596410,68285338,85055285,1322676591,nan,nan,nan,32111
5,3,5001331,68285979,85056571,1322676592,-10136,3020,12600,nan
5,4,10188379,68287754,85098866,1322676592,-3668,-656,16268,nan
6,2,599126,68288015,85058000,1322676592,nan,nan,nan,32107
5,3,5004023,68288673,85059264,1322676592,-10188,3068,12800,nan
